scenario,mode,N,b,c,w,mu,k,runs,birth_baseline,rescue_probability,rescue_se,censored_fraction,allc_at_rescue,allc_at_rescue_se,allc_g10,allc_g10_se,allc_g20,allc_g20_se,allc_g30,allc_g30_se,allc_g40,allc_g40_se,allc_g50,allc_g50_se,allc_g60,allc_g60_se,allc_g70,allc_g70_se,allc_g80,allc_g80_se,allc_g90,allc_g90_se,allc_g100,allc_g100_se
core,responsive,100,5,1,1,1,0,500,3,0.996,0.002822764602,0,0.9353815261,0.007693319255,0.96,0.006137407735,0.9729919679,0.005604058246,0.9804417671,0.005108498062,0.9836546185,0.005038115849,0.9848393574,0.004999429132,0.9868072289,0.004933119357,0.9872088353,0.004946286634,0.9875100402,0.004911568578,0.9876706827,0.004900527245,0.9877309237,0.00489773892
core,responsive,100,5,1,1,1.2,0,500,3,0.996,0.002822764602,0,0.9355421687,0.007950738312,0.9587550201,0.006369049125,0.9702811245,0.005904133628,0.9757028112,0.005676821795,0.9782730924,0.005614672593,0.9788554217,0.005676481431,0.9813453815,0.005513845266,0.9829718876,0.005390686787,0.9834337349,0.005389947247,0.9843975904,0.005337308502,0.9855823293,0.00528673332
core,responsive,100,5,1,1,1.4,0,500,3,1,0,0,0.93456,0.007424868358,0.96072,0.005638736907,0.9735,0.004803378487,0.98174,0.004404764318,0.98536,0.004307348058,0.98776,0.004250328857,0.98892,0.00413713657,0.99034,0.004054954267,0.99148,0.004006360074,0.99158,0.003999324492,0.9917,0.003998023059
core,responsive,100,5,1,1,1.6,0,500,3,1,0,0,0.94354,0.006737456749,0.96944,0.004625122302,0.9794,0.003852292865,0.9859,0.003537882591,0.99072,0.003105196885,0.9924,0.003091600879,0.99288,0.003094926225,0.99356,0.00310734033,0.99472,0.002952571516,0.99522,0.00288279799,0.99558,0.00283997502
core,responsive,100,5,1,1,1.8,0,500,3,1,0,0,0.92926,0.008284090603,0.9551,0.006540423096,0.96846,0.00582631519,0.97374,0.005638298113,0.97888,0.00548255488,0.98024,0.005472676235,0.98326,0.005317188146,0.9844,0.005330638932,0.98538,0.005286208395,0.98534,0.005297347693,0.98564,0.005269983515
core,responsive,100,5,1,1,2,0,500,3,1,0,0,0.94422,0.006500561345,0.96758,0.004641786247,0.97874,0.003906372267,0.98302,0.00379015696,0.98708,0.003534619395,0.98906,0.003499704081,0.99168,0.003206449413,0.9927,0.003093632351,0.99506,0.002878778827,0.99586,0.002827243784,0.996,0.002825591608
robustness,constant,50,3,1,0.25,1,0,300,3,0.9866666667,0.006622073078,0,0.629527027,0.01854064563,0.04952702703,0.004727011522,0.006418918919,0.001788790535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,50,5,1,0.25,1,0,300,3,1,0,0,0.6392,0.01852769418,0.0734,0.00584387358,0.01293333333,0.002463147932,0.003266666667,0.001386343115,0.0006666666667,0.0006666666667,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,50,7,1,0.25,1,0,300,3,1,0,0,0.6845333333,0.01762062573,0.1147333333,0.007502417794,0.0294,0.004452013436,0.009,0.002437399056,0.002466666667,0.001493854623,6.666666667e-05,6.666666667e-05,0,0,0,0,0,0,0,0,0,0
robustness,constant,50,3,1,0.5,1,0,300,3,1,0,0,0.6796,0.01707454702,0.088,0.006384205706,0.01433333333,0.003114261557,0.0022,0.001241012281,6.666666667e-05,6.666666667e-05,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,50,5,1,0.5,1,0,300,3,1,0,0,0.7067333333,0.01689643141,0.1619333333,0.008666803018,0.05986666667,0.006696472945,0.02193333333,0.004052166337,0.009133333333,0.002579774403,0.002866666667,0.001247225088,0.004533333333,0.002319599653,0.0005333333333,0.0003391028012,0.0007333333333,0.0007333333333,0,0,0,0
robustness,constant,50,7,1,0.5,1,0,300,3,1,0,0,0.7406,0.0151208775,0.2516666667,0.009997305471,0.1369333333,0.009330055166,0.06993333333,0.007488972693,0.0446,0.006623874928,0.0228,0.004317458272,0.01626666667,0.003985227273,0.009933333333,0.003263935336,0.0036,0.001611386463,0.0003333333333,0.0003333333333,0,0
robustness,constant,50,3,1,1,1,0,300,3,0.9966666667,0.00332777314,0,0.6726421405,0.01807577244,0.1673578595,0.008813096932,0.0620735786,0.006450216129,0.02133779264,0.003782285296,0.004347826087,0.001664113491,0.001538461538,0.0009069544414,0,0,0,0,0,0,0,0,0,0
robustness,constant,50,5,1,1,1,0,300,3,1,0,0,0.7542666667,0.01425196838,0.3508,0.01007497424,0.2497333333,0.01124312185,0.1688666667,0.01073072391,0.1388666667,0.01078543894,0.1038666667,0.009954363349,0.08393333333,0.009467752383,0.0636,0.008247638762,0.04886666667,0.007553904885,0.03833333333,0.006621109671,0.03173333333,0.006231057061
robustness,constant,50,7,1,1,1,0,300,3,0.9966666667,0.00332777314,0,0.8073578595,0.01189418827,0.4618060201,0.01016365421,0.392909699,0.01058976078,0.3617391304,0.01220237041,0.3128428094,0.01246605843,0.3002006689,0.01324517873,0.2944481605,0.01432208223,0.26,0.01396114947,0.2432107023,0.01335879757,0.2202006689,0.01356963158,0.210367893,0.01416681843
robustness,constant,100,3,1,0.25,1,0,300,3,1,0,0,0.6462666667,0.01845601559,0.05013333333,0.003727918513,0.003866666667,0.001042650483,0.0002666666667,0.0001882462235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,100,5,1,0.25,1,0,300,3,1,0,0,0.6655333333,0.01727139736,0.09236666667,0.005006817723,0.01806666667,0.00259249983,0.001833333333,0.0006584640303,0.0001666666667,0.0001666666667,0,0,0,0,0,0,0,0,0,0,0,0
robustness,constant,100,7,1,0.25,1,0,300,3,1,0,0,0.6909333333,0.01557280119,0.1408333333,0.006491304248,0.0417,0.003971516479,0.01636666667,0.00280932447,0.005166666667,0.001722989244,0.0008333333333,0.000565563882,0.0007333333333,0.0007333333333,0,0,0,0,0,0,0,0
robustness,constant,100,3,1,0.5,1,0,300,3,1,0,0,0.6582666667,0.0176085576,0.09383333333,0.005347971481,0.01666666667,0.002424021982,0.003433333333,0.001158381154,0.0004,0.0002823693352,3.333333333e-05,3.333333333e-05,0,0,0,0,0,0,0,0,0,0
